domain,year,gender,variable,value
Applied Sciences,1988,Male,inbreeding1,0.070175439
Applied Sciences,1988,Male,inbreeding2,0.157894737
Applied Sciences,1988,Male,inbreeding3,0.187134503
Applied Sciences,1988,Male,inbreeding4,0.274853801
Applied Sciences,1988,Female,inbreeding1,0.074074074
Applied Sciences,1988,Female,inbreeding2,0.148148148
Applied Sciences,1988,Female,inbreeding3,0.166666667
Applied Sciences,1988,Female,inbreeding4,0.240740741
Applied Sciences,1989,Male,inbreeding1,0.069518717
Applied Sciences,1989,Male,inbreeding2,0.139037433
Applied Sciences,1989,Male,inbreeding3,0.144385027
Applied Sciences,1989,Male,inbreeding4,0.213903743
Applied Sciences,1989,Female,inbreeding1,0.104347826
Applied Sciences,1989,Female,inbreeding2,0.208695652
Applied Sciences,1989,Female,inbreeding3,0.2
Applied Sciences,1989,Female,inbreeding4,0.304347826
Applied Sciences,1990,Male,inbreeding1,0.052401747
Applied Sciences,1990,Male,inbreeding2,0.096069869
Applied Sciences,1990,Male,inbreeding3,0.170305677
Applied Sciences,1990,Male,inbreeding4,0.213973799
Applied Sciences,1990,Female,inbreeding1,0.053846154
Applied Sciences,1990,Female,inbreeding2,0.138461538
Applied Sciences,1990,Female,inbreeding3,0.169230769
Applied Sciences,1990,Female,inbreeding4,0.253846154
Applied Sciences,1991,Male,inbreeding1,0.055776892
Applied Sciences,1991,Male,inbreeding2,0.12749004
Applied Sciences,1991,Male,inbreeding3,0.12749004
Applied Sciences,1991,Male,inbreeding4,0.199203187
Applied Sciences,1991,Female,inbreeding1,0.083916084
Applied Sciences,1991,Female,inbreeding2,0.188811189
Applied Sciences,1991,Female,inbreeding3,0.195804196
Applied Sciences,1991,Female,inbreeding4,0.300699301
Applied Sciences,1992,Male,inbreeding1,0.071729958
Applied Sciences,1992,Male,inbreeding2,0.17721519
Applied Sciences,1992,Male,inbreeding3,0.168776371
Applied Sciences,1992,Male,inbreeding4,0.274261603
Applied Sciences,1992,Female,inbreeding1,0.080882353
Applied Sciences,1992,Female,inbreeding2,0.183823529
Applied Sciences,1992,Female,inbreeding3,0.205882353
Applied Sciences,1992,Female,inbreeding4,0.308823529
Applied Sciences,1993,Male,inbreeding1,0.087719298
Applied Sciences,1993,Male,inbreeding2,0.171052632
Applied Sciences,1993,Male,inbreeding3,0.162280702
Applied Sciences,1993,Male,inbreeding4,0.245614035
Applied Sciences,1993,Female,inbreeding1,0.067567568
Applied Sciences,1993,Female,inbreeding2,0.141891892
Applied Sciences,1993,Female,inbreeding3,0.182432432
Applied Sciences,1993,Female,inbreeding4,0.256756757
Applied Sciences,1994,Male,inbreeding1,0.071186441
Applied Sciences,1994,Male,inbreeding2,0.118644068
Applied Sciences,1994,Male,inbreeding3,0.152542373
Applied Sciences,1994,Male,inbreeding4,0.2
Applied Sciences,1994,Female,inbreeding1,0.104972376
Applied Sciences,1994,Female,inbreeding2,0.193370166
Applied Sciences,1994,Female,inbreeding3,0.187845304
Applied Sciences,1994,Female,inbreeding4,0.276243094
Applied Sciences,1995,Male,inbreeding1,0.079027356
Applied Sciences,1995,Male,inbreeding2,0.164133739
Applied Sciences,1995,Male,inbreeding3,0.158054711
Applied Sciences,1995,Male,inbreeding4,0.243161094
Applied Sciences,1995,Female,inbreeding1,0.087628866
Applied Sciences,1995,Female,inbreeding2,0.180412371
Applied Sciences,1995,Female,inbreeding3,0.216494845
Applied Sciences,1995,Female,inbreeding4,0.309278351
Applied Sciences,1996,Male,inbreeding1,0.052785924
Applied Sciences,1996,Male,inbreeding2,0.152492669
Applied Sciences,1996,Male,inbreeding3,0.129032258
Applied Sciences,1996,Male,inbreeding4,0.228739003
Applied Sciences,1996,Female,inbreeding1,0.111607143
Applied Sciences,1996,Female,inbreeding2,0.200892857
Applied Sciences,1996,Female,inbreeding3,0.200892857
Applied Sciences,1996,Female,inbreeding4,0.290178571
Applied Sciences,1997,Male,inbreeding1,0.103797468
Applied Sciences,1997,Male,inbreeding2,0.197468354
Applied Sciences,1997,Male,inbreeding3,0.174683544
Applied Sciences,1997,Male,inbreeding4,0.26835443
Applied Sciences,1997,Female,inbreeding1,0.085020243
Applied Sciences,1997,Female,inbreeding2,0.174089069
Applied Sciences,1997,Female,inbreeding3,0.206477733
Applied Sciences,1997,Female,inbreeding4,0.295546559
Applied Sciences,1998,Male,inbreeding1,0.063348416
Applied Sciences,1998,Male,inbreeding2,0.128959276
Applied Sciences,1998,Male,inbreeding3,0.156108597
Applied Sciences,1998,Male,inbreeding4,0.221719457
Applied Sciences,1998,Female,inbreeding1,0.069230769
Applied Sciences,1998,Female,inbreeding2,0.161538462
Applied Sciences,1998,Female,inbreeding3,0.184615385
Applied Sciences,1998,Female,inbreeding4,0.276923077
Applied Sciences,1999,Male,inbreeding1,0.073496659
Applied Sciences,1999,Male,inbreeding2,0.135857461
Applied Sciences,1999,Male,inbreeding3,0.14922049
Applied Sciences,1999,Male,inbreeding4,0.211581292
Applied Sciences,1999,Female,inbreeding1,0.079422383
Applied Sciences,1999,Female,inbreeding2,0.166064982
Applied Sciences,1999,Female,inbreeding3,0.184115523
Applied Sciences,1999,Female,inbreeding4,0.270758123
Applied Sciences,2000,Male,inbreeding1,0.083798883
Applied Sciences,2000,Male,inbreeding2,0.154562384
Applied Sciences,2000,Male,inbreeding3,0.176908752
Applied Sciences,2000,Male,inbreeding4,0.247672253
Applied Sciences,2000,Female,inbreeding1,0.071428571
Applied Sciences,2000,Female,inbreeding2,0.164021164
Applied Sciences,2000,Female,inbreeding3,0.177248677
Applied Sciences,2000,Female,inbreeding4,0.26984127
Applied Sciences,2001,Male,inbreeding1,0.064285714
Applied Sciences,2001,Male,inbreeding2,0.158928571
Applied Sciences,2001,Male,inbreeding3,0.151785714
Applied Sciences,2001,Male,inbreeding4,0.246428571
Applied Sciences,2001,Female,inbreeding1,0.109289617
Applied Sciences,2001,Female,inbreeding2,0.193989071
Applied Sciences,2001,Female,inbreeding3,0.229508197
Applied Sciences,2001,Female,inbreeding4,0.31420765
Applied Sciences,2002,Male,inbreeding1,0.079617834
Applied Sciences,2002,Male,inbreeding2,0.171974522
Applied Sciences,2002,Male,inbreeding3,0.160828025
Applied Sciences,2002,Male,inbreeding4,0.253184713
Applied Sciences,2002,Female,inbreeding1,0.092009685
Applied Sciences,2002,Female,inbreeding2,0.186440678
Applied Sciences,2002,Female,inbreeding3,0.18401937
Applied Sciences,2002,Female,inbreeding4,0.278450363
Applied Sciences,2003,Male,inbreeding1,0.065318818
Applied Sciences,2003,Male,inbreeding2,0.136858476
Applied Sciences,2003,Male,inbreeding3,0.167962675
Applied Sciences,2003,Male,inbreeding4,0.239502333
Applied Sciences,2003,Female,inbreeding1,0.089285714
Applied Sciences,2003,Female,inbreeding2,0.176339286
Applied Sciences,2003,Female,inbreeding3,0.180803571
Applied Sciences,2003,Female,inbreeding4,0.267857143
Applied Sciences,2004,Male,inbreeding1,0.083707025
Applied Sciences,2004,Male,inbreeding2,0.168908819
Applied Sciences,2004,Male,inbreeding3,0.170403587
Applied Sciences,2004,Male,inbreeding4,0.255605381
Applied Sciences,2004,Female,inbreeding1,0.079268293
Applied Sciences,2004,Female,inbreeding2,0.152439024
Applied Sciences,2004,Female,inbreeding3,0.166666667
Applied Sciences,2004,Female,inbreeding4,0.239837398
Applied Sciences,2005,Male,inbreeding1,0.087281796
Applied Sciences,2005,Male,inbreeding2,0.162094763
Applied Sciences,2005,Male,inbreeding3,0.187032419
Applied Sciences,2005,Male,inbreeding4,0.261845387
Applied Sciences,2005,Female,inbreeding1,0.094594595
Applied Sciences,2005,Female,inbreeding2,0.170608108
