"","country_w","group4","mean_first_work_avg_publications_afterwork","se_first_work_avg_publications_afterwork","mean_first_work_avg_jif_afterwork","se_first_work_avg_jif_afterwork"
"1","AU","Female Inbred",2.53153039880571,0.135097700189119,13.46534452784,1.60572819954496
"2","AU","Female Non-Inbred",2.56645481438256,0.084001418542587,11.6135159326447,0.55886710182934
"3","AU","Male Inbred",2.64532371333313,0.102071976791097,13.6774090201166,1.12722202186664
"4","AU","Male Non-Inbred",3.02170977225046,0.0774993656886464,14.1702600550527,0.552300428723147
"5","BR","Female Inbred",1.35002288921887,0.0726767504232898,3.01370791759239,0.296585360677486
"6","BR","Female Non-Inbred",1.1695367079897,0.0328558207657959,2.47665385911798,0.132070692153298
"7","BR","Male Inbred",1.32234561392526,0.0502248067160286,3.06796323541065,0.261744835419651
"8","BR","Male Non-Inbred",1.31504787118603,0.0402041004473021,2.81677719493473,0.167796131371713
"9","CA","Female Inbred",2.14077967908978,0.138354030552317,10.5112736868603,1.48162347880458
"10","CA","Female Non-Inbred",2.37516901733015,0.126113360222482,10.7039382781101,0.69167578408113
"11","CA","Male Inbred",2.32371985600751,0.122853077476018,10.9035290919429,1.10210247557004
"12","CA","Male Non-Inbred",2.49889936416232,0.0874615674114599,12.0007447266301,0.70654560111216
"13","CN","Female Inbred",2.7438846205986,0.098220299015501,14.1752842329504,0.615708230971973
"14","CN","Female Non-Inbred",2.42759445327962,0.0613138608702282,13.4339884124366,0.605730997297678
"15","CN","Male Inbred",2.91241207967066,0.118621906500887,15.0679738394532,0.753388427999881
"16","CN","Male Non-Inbred",2.66330987875982,0.0786312966605577,14.3961694065213,0.673699693565125
"17","DE","Female Inbred",2.02167958563699,0.180578429710661,10.0055862377329,0.971785324892498
"18","DE","Female Non-Inbred",2.40552735763418,0.116441802441087,13.4495470001455,0.722724147816992
"19","DE","Male Inbred",2.33651580042535,0.195472772038499,11.6184658891615,1.15355560645997
"20","DE","Male Non-Inbred",2.49963302885933,0.107229092540307,12.6610767343915,0.595071905196482
"21","ES","Female Inbred",1.73514321757514,0.0678266295988654,5.1767967199239,0.333206404027705
"22","ES","Female Non-Inbred",1.78423000443492,0.0599249989729421,6.80280837090441,0.331949826357743
"23","ES","Male Inbred",1.91363729822947,0.0997925273767994,6.66015513536368,0.684598504410868
"24","ES","Male Non-Inbred",2.19095588576558,0.0846288249830031,8.56289000089238,0.520880110352032
"25","FR","Female Inbred",2.01553811070042,0.175271109940028,7.56974259013924,0.813357696188436
"26","FR","Female Non-Inbred",2.1138294013289,0.149923885653609,9.53802385957269,0.623583642079992
"27","FR","Male Inbred",2.22253696057303,0.205552811124141,9.0467622230412,1.17727741031741
"28","FR","Male Non-Inbred",2.05745596068917,0.107013612625478,9.91210080660027,0.627903794401378
"29","GB","Female Inbred",2.1133369034878,0.0970838983804431,12.2534612207582,0.959189828686266
"30","GB","Female Non-Inbred",2.1796760568493,0.0687053132413793,12.3711908385511,0.774854890985006
"31","GB","Male Inbred",2.58473034195823,0.079018219926145,15.5205729516435,0.861418810772107
"32","GB","Male Non-Inbred",2.73841852199188,0.0550454149219847,16.4815834989145,0.709966440025085
"33","IN","Female Inbred",1.27194372803441,0.0672741658535797,3.06557664216163,0.296711659754214
"34","IN","Female Non-Inbred",1.26260944668734,0.0337658962596401,3.44700233997865,0.153914505797956
"35","IN","Male Inbred",1.35098983698152,0.0559705648041233,3.72760694173531,0.268598008436949
"36","IN","Male Non-Inbred",1.45642573005456,0.032321900029935,3.98996140719909,0.141158952633441
"37","IT","Female Inbred",3.18347859585495,0.333057519214686,12.7298039389446,1.8868983060395
"38","IT","Female Non-Inbred",2.67986546029633,0.174124330938804,10.9941151533831,0.857058222923631
"39","IT","Male Inbred",2.70160145303281,0.157092968169067,10.611021242957,0.817635142228445
"40","IT","Male Non-Inbred",2.8061422734955,0.151394927129543,12.2014980798408,0.822747022016524
"41","JP","Female Inbred",2.3792147694441,0.17225010630529,10.3761692372205,1.07687022686723
"42","JP","Female Non-Inbred",2.21025340672837,0.102314485779497,10.4438341352284,0.642652013573541
"43","JP","Male Inbred",2.65656092184167,0.148398879570689,11.7116000001117,1.00231301983849
"44","JP","Male Non-Inbred",2.41579513416693,0.094301180172332,10.8466029751622,0.557092152796636
"45","KR","Female Inbred",2.1038651972303,0.191905321597264,10.6978792492545,1.83552903182616
"46","KR","Female Non-Inbred",1.87781644454071,0.103676673266687,9.85420124962631,0.842787989919067
"47","KR","Male Inbred",2.55838159586093,0.139710150155776,12.2535571641589,0.916083409911736
"48","KR","Male Non-Inbred",2.11813059955642,0.0766537834082662,10.2103951888671,0.439366299844952
"49","MY","Female Inbred",1.53845220809057,0.145504232096665,4.00799937203774,0.462307491036106
"50","MY","Female Non-Inbred",1.77876132193413,0.150835054276268,4.61452711771457,0.558180719939743
"51","MY","Male Inbred",1.93010548094417,0.15802230068818,4.68093169522496,0.483345731272172
"52","MY","Male Non-Inbred",1.81144160799275,0.0916677722693396,4.93786941325141,0.422406534847987
"53","TR","Female Inbred",1.05223686458514,0.0698221330392614,2.60570384328793,0.442633940237745
"54","TR","Female Non-Inbred",1.15863082031218,0.0473779003578,2.78314156856947,0.163577303218936
"55","TR","Male Inbred",1.16866786437778,0.0734778881690006,2.86393219471778,0.286517576935364
"56","TR","Male Non-Inbred",1.21189015350185,0.058089283495358,3.17465106147906,0.330760588587581
"57","US","Female Inbred",2.08493887560253,0.126396022741216,11.5616610793645,0.676631483809473
"58","US","Female Non-Inbred",1.89484867747497,0.0296458476692078,10.7515422228539,0.215306210439312
