gender,w_ranking,inbreeding1,inbreeding2,inbreeding3,inbreeding4
Female,53,0.057692308,0.083333333,0.275641026,0.301282051
Male,54,0.049122807,0.101754386,0.168421053,0.221052632
Female,54,0.041916168,0.119760479,0.161676647,0.239520958
Male,55,0.075136612,0.131147541,0.234972678,0.290983607
Female,55,0.050970874,0.089805825,0.233009709,0.27184466
Male,57,0.035031847,0.078556263,0.157112527,0.200636943
Female,57,0.022964509,0.060542797,0.167014614,0.204592902
Male,60,0.016666667,0.033333333,0.183333333,0.2
Female,60,0,0,0.153846154,0.153846154
Male,61,0,0,0.2,0.2
Female,61,0.133333333,0.133333333,0.133333333,0.133333333
Male,62,0.114285714,0.165079365,0.323809524,0.374603175
Female,62,0.117346939,0.163265306,0.331632653,0.37755102
Male,63,0.075471698,0.121293801,0.249775382,0.295597484
Female,63,0.039832285,0.081761006,0.199161426,0.241090147
Male,65,0.033333333,0.426666667,0.1,0.493333333
Female,65,0.037037037,0.5,0.092592593,0.555555556
Male,67,0.024691358,0.064197531,0.165432099,0.204938272
Female,67,0.050691244,0.064516129,0.198156682,0.211981567
Male,69,0.066666667,0.066666667,0.1,0.1
Female,69,0,0,0.052631579,0.052631579
Male,70,0.025974026,0.054112554,0.162337662,0.19047619
Female,70,0.014814815,0.033333333,0.159259259,0.177777778
Male,72,0.012244898,0.040816327,0.110204082,0.13877551
Female,72,0.011494253,0.028735632,0.17816092,0.195402299
Male,73,0.031168831,0.077922078,0.187012987,0.233766234
Female,73,0.043859649,0.070175439,0.166666667,0.192982456
Male,74,0.095826893,0.135239567,0.268160742,0.307573416
Female,74,0.113788487,0.164658635,0.254350736,0.305220884
Male,78,0.013157895,0.068421053,0.139473684,0.194736842
Female,78,0.016483516,0.049450549,0.197802198,0.230769231
Male,79,0.035714286,0.035714286,0.19047619,0.19047619
Female,79,0.023809524,0.071428571,0.214285714,0.261904762
Male,80,0.02745098,0.066666667,0.152941176,0.192156863
Female,80,0.034482759,0.062068966,0.151724138,0.179310345
Male,81,0.168202765,0.209677419,0.299539171,0.341013825
Female,81,0.147540984,0.180327869,0.295081967,0.327868852
Male,82,0.028985507,0.057971014,0.246376812,0.275362319
Female,82,0.041666667,0.125,0.222222222,0.305555556
Male,83,0.158163265,0.198979592,0.341836735,0.382653061
Female,83,0.106382979,0.170212766,0.319148936,0.382978723
Male,84,0.039764359,0.081001473,0.160530191,0.201767305
Female,84,0.036827195,0.065155807,0.169971671,0.198300283
Male,86,0.317991632,0.384937238,0.510460251,0.577405858
Female,86,0.306501548,0.383900929,0.523219814,0.600619195
Male,87,0,0,0,0
Female,87,0,0.25,0,0.25
Male,88,0.129310345,0.146551724,0.275862069,0.293103448
Female,88,0.082474227,0.154639175,0.24742268,0.319587629
Male,89,0.096,0.137333333,0.278666667,0.32
Female,89,0.086864407,0.133474576,0.258474576,0.305084746
Male,93,0.087890625,0.134765625,0.2578125,0.3046875
Female,93,0.136666667,0.2,0.313333333,0.376666667
Male,95,0.126262626,0.156565657,0.282828283,0.313131313
Female,95,0.101167315,0.13229572,0.276264591,0.307392996
Male,98,0.043809524,0.078095238,0.203809524,0.238095238
Female,98,0.053380783,0.088967972,0.234875445,0.270462633
Male,99,0.08,0.1,0.28,0.3
Female,99,0.187919463,0.208053691,0.422818792,0.44295302
Male,100,0.068796069,0.108108108,0.250614251,0.28992629
Female,100,0.057017544,0.105263158,0.236842105,0.285087719
Male,102,0.252525253,0.303030303,0.484848485,0.535353535
Female,102,0.215686275,0.294117647,0.450980392,0.529411765
Male,103,0.013422819,0.026845638,0.073825503,0.087248322
Female,103,0,0.031746032,0.095238095,0.126984127
Male,104,0.088825215,0.114613181,0.309455587,0.335243553
Female,104,0.062068966,0.082758621,0.220689655,0.24137931
Male,105,0.029411765,0.117647059,0.166666667,0.254901961
Female,105,0.102941176,0.191176471,0.235294118,0.323529412
Male,106,0.099009901,0.198019802,0.247524752,0.346534653
Female,106,0.119402985,0.179104478,0.268656716,0.328358209
Male,107,0.014084507,0.042253521,0.197183099,0.225352113
Female,107,0.115384615,0.153846154,0.384615385,0.423076923
Male,108,0.022556391,0.082706767,0.169172932,0.229323308
Female,108,0.041666667,0.083333333,0.172619048,0.214285714
Male,109,0.13490364,0.17987152,0.295503212,0.340471092
Female,109,0.150724638,0.223188406,0.350724638,0.423188406
Male,112,0.085959885,0.12034384,0.275071633,0.309455587
Female,112,0.101265823,0.147679325,0.286919831,0.333333333
Male,115,0.355932203,0.463276836,0.474576271,0.581920904
Female,115,0.335443038,0.417721519,0.46835443,0.550632911
Male,116,0.055072464,0.113043478,0.217391304,0.275362319
Female,116,0.073359073,0.146718147,0.239382239,0.312741313
Male,118,0.028571429,0.066666667,0.214285714,0.252380952
Female,118,0.010526316,0.042105263,0.189473684,0.221052632
Male,119,0.026936027,0.084175084,0.104377104,0.161616162
Female,119,0.013605442,0.054421769,0.129251701,0.170068027
Male,120,0.176788124,0.246963563,0.349527665,0.419703104
Female,120,0.159638554,0.234939759,0.364457831,0.439759036
Male,122,0.333333333,0.434782609,0.449275362,0.550724638
Female,122,0.230769231,0.341880342,0.376068376,0.487179487
Male,123,0.250814332,0.286644951,0.423452769,0.459283388
Female,123,0.217391304,0.323671498,0.381642512,0.487922705
Male,125,0.225063939,0.342710997,0.404092072,0.52173913
Female,125,0.307692308,0.451048951,0.444055944,0.587412587
Male,127,0.09602649,0.11589404,0.268211921,0.28807947
Female,127,0.087866109,0.117154812,0.322175732,0.351464435
