year,gender,inbreeding1,inbreeding2,inbreeding3,inbreeding4,inbreeding5,country_w,w_ranking,w_subject2,ranking_category,branking,dranking,continent_b,continent_d,continent_w,first_work_pre_avg_publications,first_work_pre_avg_jif,work_bachelor_year,country_b,country_d,bsubject2,dsubject2,work_to_2022,start_year_facawork_oid_sum_afterwork,start_year_facawork_oid_jifsum_afterwork,first_work_pre_avg_publications_afterwork,first_work_pre_avg_jif_afterwork,gender_inbreeding1,gender_inbreeding2,gender_inbreeding3,gender_inbreeding4
1989,1,0,0,0,0,1,IN,1376,8,1000-1500,1361,27,Asia,Oceania,Asia,0,0,11,IN,AU,8,8,33,17,42,0.515151515,1.272727273,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2021,1,0,0,1,1,0,EE,1017,8,1000-1500,547,1017,Asia,Europe,Europe,0,0,7,TR,EE,8,8,1,0,0,0,0,Female Non-Inbred,Female Non-Inbred,Female Inbred,Female Inbred
1985,0,0,0,1,1,0,CN,100,8,0-500,55,100,Asia,Asia,Asia,0,0,7,CN,CN,8,8,37,34,92.2,0.918918919,2.491891892,Male Non-Inbred,Male Non-Inbred,Male Inbred,Male Inbred
2011,0,0,0,0,0,1,ZA,370,3,0-500,370,349,Africa,Africa,Africa,0,0,10,NG,NG,3,3,11,20,20.7,1.818181818,1.881818182,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2011,1,0,0,1,1,0,ZA,24,1,0-500,304,24,Africa,Africa,Africa,0,0,7,ZA,ZA,11,11,11,17,3.9,1.545454545,0.354545455,Female Non-Inbred,Female Non-Inbred,Female Inbred,Female Inbred
2018,0,0,0,0,0,1,BR,NA,4,>2000,1431,1431,Latin America,Latin America,Latin America,0,0,13,BR,BR,7,3,4,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2016,0,1,1,1,1,0,IT,185,6,0-500,185,185,Europe,Europe,Europe,0,0,7,IT,IT,6,4,6,7,25.6,1.166666667,4.266666667,Male Inbred,Male Inbred,Male Inbred,Male Inbred
2014,0,0,0,1,1,0,BD,2001,8,>2000,2001,576,Asia,Europe,Asia,0,0,6,BD,GB,8,8,8,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Inbred,Male Inbred
2010,1,1,1,1,1,0,PT,507,3,500-1000,507,507,Europe,Europe,Europe,0.769230769,2.138461538,13,PT,PT,6,3,12,50,288.4,4.166666667,24.03333333,Female Inbred,Female Inbred,Female Inbred,Female Inbred
2017,1,0,0,0,0,1,AU,36,3,0-500,20,8,North America,Europe,Oceania,1.8,4.203333333,30,US,GB,3,3,5,18,25.8,3.6,5.16,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2014,1,0,0,0,0,1,DK,109,5,0-500,NA,109,Latin America,Europe,Europe,0,0,13,EC,DK,8,5,8,16,17.2,2,2.15,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2007,1,0,0,0,0,1,CN,23,8,0-500,196,196,Asia,Asia,Asia,0,0,11,CN,CN,8,8,15,12,36.3,0.8,2.42,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2009,0,0,0,0,0,1,KE,2001,8,>2000,2001,2001,Africa,Africa,Africa,0,0,8,KE,KE,8,7,13,11,7.2,0.846153846,0.553846154,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2002,0,0,0,0,0,1,TH,NA,7,>2000,NA,512,Asia,Asia,Asia,0,0,10,TH,TH,6,7,20,15,192.5,0.75,9.625,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2016,0,0,0,0,0,1,BR,120,4,0-500,2001,757,Asia,Asia,Latin America,0,0,16,JP,JP,5,4,6,5,5.6,0.833333333,0.933333333,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2020,1,0,0,1,1,0,US,186,4,0-500,633,186,North America,North America,North America,0,0,7,US,US,4,4,2,0,0,0,0,Female Non-Inbred,Female Non-Inbred,Female Inbred,Female Inbred
2020,0,0,0,0,0,1,SE,51,6,0-500,332,300,Asia,Europe,Europe,1,5.453846154,13,CN,DE,8,4,2,2,27.5,1,13.75,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2022,0,0,0,0,0,1,IT,NA,8,>2000,273,297,Europe,Europe,Europe,0.15,0,20,IT,IT,6,8,0,0,0,NA,NA,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2020,1,0,0,0,0,1,US,57,4,0-500,2001,57,North America,North America,North America,0,0,8,US,US,6,4,2,4,0,2,0,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2018,1,0,0,0,0,1,US,32,7,0-500,2001,10,North America,North America,North America,0.888888889,6.077777778,18,US,US,6,7,4,11,37.9,2.75,9.475,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2018,1,0,0,0,0,1,DE,NA,7,>2000,NA,NA,Europe,Europe,Europe,0,0,5,DE,DE,4,4,4,9,45.2,2.25,11.3,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2005,0,0,0,0,0,1,CN,39,4,0-500,120,3,Latin America,North America,Asia,0,0,12,BR,US,1,1,17,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2009,0,0,0,0,0,1,IN,NA,4,>2000,NA,1361,Asia,Asia,Asia,0,0,8,IN,IN,4,8,13,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
1993,0,0,0,0,0,1,FR,1664,4,1500-2000,NA,341,Europe,Europe,Europe,0.222222222,0.355555556,9,FR,FR,6,6,29,88,354.4,3.034482759,12.22068966,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2009,0,0,0,0,0,1,BR,1301,6,1000-1500,NA,NA,Latin America,Latin America,Latin America,0,0,3,BR,BR,3,4,13,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2010,0,0,0,1,1,0,AU,2001,8,>2000,27,5,Oceania,Europe,Oceania,0,0,5,AU,GB,1,4,12,16,48.4,1.333333333,4.033333333,Male Non-Inbred,Male Non-Inbred,Male Inbred,Male Inbred
2018,0,0,0,1,1,0,KR,129,4,0-500,NA,129,Asia,Asia,Asia,0.277777778,9.805555556,18,KR,KR,4,4,4,1,16.6,0.25,4.15,Male Non-Inbred,Male Non-Inbred,Male Inbred,Male Inbred
2020,1,0,0,0,0,1,IN,NA,4,>2000,NA,NA,Asia,Asia,Asia,0,0,12,IN,IN,4,4,2,2,0.9,1,0.45,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
1998,1,0,0,0,0,1,IT,NA,4,>2000,125,561,Europe,Europe,Europe,0,0,8,IT,IT,4,6,24,0,0,0,0,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2005,1,1,1,1,1,0,ES,337,1,0-500,337,337,Europe,Europe,Europe,0,0,5,ES,ES,6,4,17,27,0.8,1.588235294,0.047058824,Female Inbred,Female Inbred,Female Inbred,Female Inbred
2022,1,0,0,0,0,1,US,21,3,0-500,202,202,Europe,Europe,North America,0.4,1.83,10,PT,PT,6,7,0,0,0,NA,NA,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
1982,0,0,0,0,0,1,IN,NA,1,>2000,1549,NA,Asia,Asia,Asia,0.105263158,0,19,IN,IN,4,4,40,18,11.1,0.45,0.2775,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2013,1,0,0,0,0,1,IT,209,8,0-500,273,2001,Europe,Europe,Europe,0.444444444,1.222222222,9,IT,IT,8,8,9,8,35.9,0.888888889,3.988888889,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2014,0,0,0,0,0,1,KR,520,4,500-1000,520,520,Asia,Asia,Asia,2.533333333,6.904,15,KR,KR,8,8,8,41,263.23,5.125,32.90375,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
1990,1,0,0,0,0,1,IT,122,8,0-500,122,122,Europe,Europe,Europe,0,0,11,IT,IT,7,5,32,15,12.5,0.46875,0.390625,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
1997,0,0,0,0,0,1,US,119,4,0-500,2001,1136,North America,North America,North America,0,0,11,US,US,4,4,25,56,175.2,2.24,7.008,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2008,1,0,0,0,0,1,ES,NA,6,>2000,782,826,Europe,Europe,Europe,NA,NA,.,ES,IT,6,4,14,1,0.1,0.071428571,0.007142857,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2012,0,0,0,0,0,1,NG,2001,7,>2000,2001,1198,Africa,Africa,Africa,0,0,7,NG,NG,7,7,10,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2014,1,0,0,0,0,1,AU,27,4,0-500,171,36,Oceania,Oceania,Oceania,0,0,5,AU,AU,6,7,8,20,64.3,2.5,8.0375,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2020,0,0,0,0,0,1,VN,770,11,500-1000,2001,231,Asia,Oceania,Asia,0.055555556,0,18,VN,AU,1,11,2,1,3,0.5,1.5,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2003,1,0,0,1,1,0,ZA,244,8,0-500,1190,244,Africa,Africa,Africa,0,0,18,ZW,ZA,3,7,19,2,2.2,0.105263158,0.115789474,Female Non-Inbred,Female Non-Inbred,Female Inbred,Female Inbred
2012,0,0,0,0,0,1,AU,37,11,0-500,37,37,Oceania,Oceania,Oceania,0.363636364,0.090909091,11,AU,AU,1,1,10,14,7,1.4,0.7,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2002,0,1,1,1,1,0,ES,770,3,500-1000,770,770,Europe,Europe,Europe,0,0,19,ES,ES,3,3,20,1,0,0.05,0,Male Inbred,Male Inbred,Male Inbred,Male Inbred
2019,1,0,0,0,0,1,US,46,3,0-500,NA,277,Europe,Europe,North America,0.272727273,1.681818182,11,PL,FR,4,6,3,3,15.6,1,5.2,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
1990,0,1,1,1,1,0,EG,NA,8,>2000,NA,NA,Africa,Africa,Africa,0,0,12,EG,EG,8,8,32,6,0,0.1875,0,Male Inbred,Male Inbred,Male Inbred,Male Inbred
2010,1,0,0,0,0,1,CN,NA,4,>2000,NA,NA,Asia,Asia,Asia,0,0,10,CN,CN,8,7,12,0,0,0,0,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2017,1,0,0,0,0,1,US,1295,7,1000-1500,717,618,Asia,North America,North America,0,0,12,IN,US,4,7,5,0,0,0,0,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2009,1,0,0,0,0,1,GB,405,6,0-500,2001,1597,Asia,North America,Europe,0,0,6,IN,US,6,4,13,23,129.1,1.769230769,9.930769231,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2018,0,0,0,0,0,1,US,2001,1,>2000,1400,241,North America,North America,North America,0.117647059,0.470588235,17,US,US,7,3,4,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
1996,0,0,0,0,0,1,NL,NA,7,>2000,88,88,Europe,Europe,Europe,NA,NA,.,NL,NL,7,4,26,22,45.6,0.846153846,1.753846154,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2020,0,1,1,1,1,0,GR,441,6,0-500,441,441,Europe,Europe,Europe,0,0,8,GR,GR,8,8,2,1,8.7,0.5,4.35,Male Inbred,Male Inbred,Male Inbred,Male Inbred
2011,0,0,0,1,1,0,GB,63,7,0-500,156,63,Europe,Europe,Europe,0.166666667,0,12,GB,GB,6,3,11,19,0,1.727272727,0,Male Non-Inbred,Male Non-Inbred,Male Inbred,Male Inbred
2003,0,1,1,1,1,0,ES,1317,3,1000-1500,1317,1317,Europe,Europe,Europe,0,0,5,ES,ES,6,3,19,21,73.3,1.105263158,3.857894737,Male Inbred,Male Inbred,Male Inbred,Male Inbred
2012,0,0,1,0,1,0,CL,1198,5,1000-1500,1198,63,Latin America,Europe,Latin America,0,0,5,CL,GB,5,7,10,10,13.3,1,1.33,Male Non-Inbred,Male Inbred,Male Non-Inbred,Male Inbred
2015,0,0,0,0,0,1,CH,29,7,0-500,429,54,North America,North America,Europe,0.181818182,0.818181818,11,CA,CA,6,4,7,2,4.6,0.285714286,0.657142857,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
1989,0,0,0,0,0,1,US,55,4,0-500,1384,10,North America,North America,North America,0.846153846,2.907692308,13,US,US,4,4,33,62,294.7,1.878787879,8.93030303,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2004,0,0,0,0,0,1,US,7,7,0-500,2001,41,Europe,North America,North America,0,0,13,PT,US,6,7,18,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2011,0,0,1,0,1,0,NG,1088,3,1000-1500,1088,349,Africa,Africa,Africa,0,0,10,NG,NG,11,11,11,0,0,0,0,Male Non-Inbred,Male Inbred,Male Non-Inbred,Male Inbred
2004,1,0,0,0,0,1,CA,1405,8,1000-1500,191,18,North America,North America,North America,0.55,1.205,20,CA,CA,4,7,18,35,60.7,1.944444444,3.372222222,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
1975,0,0,0,0,0,1,US,3,4,0-500,16,3,North America,North America,North America,0,0,10,US,US,4,4,47,4,7.6,0.085106383,0.161702128,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2004,0,0,0,0,0,1,US,1072,5,1000-1500,21,143,North America,North America,North America,0.130434783,0.217391304,23,US,US,5,5,18,9,16.4,0.5,0.911111111,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2008,0,0,1,0,1,0,US,206,4,0-500,89,206,Asia,North America,North America,0,0,10,CN,US,8,8,14,1,14.5,0.071428571,1.035714286,Male Non-Inbred,Male Inbred,Male Non-Inbred,Male Inbred
1999,1,0,0,0,0,1,BR,2001,1,>2000,2001,618,Latin America,Latin America,Latin America,0,0,7,BR,BR,3,7,23,8,0,0.347826087,0,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2008,1,0,0,0,0,1,ES,231,7,0-500,231,231,Europe,Europe,Europe,0,0,5,ES,ES,7,7,14,15,114.9,1.071428571,8.207142857,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2013,1,0,0,0,0,1,SA,1042,7,1000-1500,1379,2001,Africa,Africa,Asia,0,0,17,SD,SD,7,7,9,2,0,0.222222222,0,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2020,0,0,0,0,0,1,TR,NA,3,>2000,2001,NA,Asia,Asia,Asia,0.461538462,0,13,PK,TR,6,3,2,3,7.8,1.5,3.9,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2017,1,0,1,0,1,0,CH,67,4,0-500,42,NA,Europe,Europe,Europe,0.454545455,2.872727273,11,DK,CH,7,4,5,16,201.7,3.2,40.34,Female Non-Inbred,Female Inbred,Female Non-Inbred,Female Inbred
2011,0,1,1,1,1,0,PT,507,7,500-1000,507,507,Europe,Europe,Europe,0,0,5,PT,PT,6,6,11,45,104.96,4.090909091,9.541818182,Male Inbred,Male Inbred,Male Inbred,Male Inbred
2018,0,0,0,0,0,1,IT,115,5,0-500,125,125,Europe,Europe,Europe,0,0,9,IT,IT,3,3,4,3,2.2,0.75,0.55,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2004,0,0,0,0,0,1,US,NA,7,>2000,105,73,North America,North America,North America,0,0,8,US,US,4,7,18,22,107.5,1.222222222,5.972222222,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2018,0,0,0,0,0,1,US,276,8,0-500,299,6,North America,North America,North America,0,0,12,US,US,8,8,4,2,5.4,0.5,1.35,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2014,0,0,0,0,0,1,TR,377,1,0-500,547,57,Asia,North America,Asia,0,0,29,TR,US,8,3,8,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2019,0,0,0,0,0,1,FR,NA,5,>2000,273,273,Europe,Europe,Europe,0,0,4,IT,IT,5,5,3,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2019,0,0,1,0,1,0,TW,639,7,500-1000,639,203,Asia,Asia,Asia,0.083333333,0.458333333,12,TW,TW,7,7,3,4,13.5,1.333333333,4.5,Male Non-Inbred,Male Inbred,Male Non-Inbred,Male Inbred
2015,0,0,0,0,0,1,CN,NA,7,>2000,1854,547,Asia,Asia,Asia,0,0,14,CN,CN,7,7,7,16,17.1,2.285714286,2.442857143,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2020,0,1,1,1,1,0,JP,140,6,0-500,140,140,Asia,Asia,Asia,0.333333333,0.816666667,6,JP,JP,6,6,2,1,4.1,0.5,2.05,Male Inbred,Male Inbred,Male Inbred,Male Inbred
2020,1,0,0,0,0,1,ES,520,3,500-1000,1190,1190,Europe,Europe,Europe,0,0,8,ES,ES,7,7,2,0,0,0,0,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2017,1,0,0,0,0,1,GB,104,6,0-500,196,196,Asia,Asia,Europe,0.142857143,0.514285714,7,CN,CN,4,4,5,8,30.9,1.6,6.18,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2010,1,0,0,0,0,1,IN,NA,6,>2000,NA,1376,Asia,Asia,Asia,0,0,6,IN,IN,6,6,12,4,0,0.333333333,0,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
1985,0,0,0,0,0,1,NG,NA,3,>2000,NA,NA,Africa,Africa,Africa,0,0,8,NG,NG,4,4,37,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2014,1,0,0,0,0,1,BR,2001,8,>2000,618,618,Latin America,Latin America,Latin America,0.1,0.24,10,BR,BR,4,4,8,7,26.1,0.875,3.2625,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2018,0,0,0,0,0,1,GB,633,8,500-1000,93,5,Europe,Europe,Europe,0,0,19,GB,GB,7,4,4,3,30.9,0.75,7.725,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2013,0,0,0,1,1,0,SG,26,8,0-500,807,26,Asia,Asia,Asia,0.090909091,0.081818182,11,BD,SG,8,8,9,8,40.6,0.888888889,4.511111111,Male Non-Inbred,Male Non-Inbred,Male Inbred,Male Inbred
1992,0,0,1,0,1,0,BR,896,7,500-1000,896,120,Latin America,Latin America,Latin America,0,0,6,BR,BR,7,8,30,2,9.9,0.066666667,0.33,Male Non-Inbred,Male Inbred,Male Non-Inbred,Male Inbred
2016,0,0,0,0,0,1,BD,NA,7,>2000,NA,1,Asia,North America,Asia,0,0,12,BD,US,6,7,6,12,23.4,2,3.9,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
1999,1,0,0,0,0,1,KR,NA,6,>2000,NA,263,Asia,Asia,Asia,0,0,7,KR,KR,11,7,23,4,0,0.173913043,0,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2003,0,0,0,0,0,1,PT,NA,6,>2000,429,429,Europe,Europe,Europe,0,0,6,PT,PT,6,6,19,10,32.4,0.526315789,1.705263158,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2007,0,0,0,0,0,1,PK,2001,9,>2000,1140,203,Asia,Oceania,Asia,0,0,4,PK,AU,6,6,15,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2014,0,0,0,0,0,1,SD,NA,7,>2000,1379,547,Africa,.,Africa,0,0,10,SD,"Selangor, MY",6,4,8,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2001,0,0,0,1,1,0,ES,770,7,500-1000,466,551,Europe,Europe,Europe,0,0,9,ES,IE,5,5,21,35,120.3,1.666666667,5.728571429,Male Non-Inbred,Male Non-Inbred,Male Inbred,Male Inbred
2002,0,0,1,0,1,0,VE,695,7,500-1000,695,129,Latin America,Europe,Latin America,0,0,16,VE,GB,4,7,20,0,0,0,0,Male Non-Inbred,Male Inbred,Male Non-Inbred,Male Inbred
2006,1,0,0,0,0,1,IN,2001,4,>2000,NA,2001,Asia,Asia,Asia,0,0,12,IN,IN,4,4,16,129,282.96,8.0625,17.685,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2013,1,0,0,0,0,1,DE,NA,7,>2000,2001,89,Europe,Europe,Europe,1,2.745454545,11,NL,NL,4,4,9,20,108.9,2.222222222,12.1,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2010,0,0,0,0,0,1,CH,537,3,500-1000,54,NA,North America,Europe,Europe,0.2,0.25,10,CA,DE,8,11,12,11,109.5,0.916666667,9.125,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2016,1,0,0,1,1,0,US,2001,3,>2000,225,2001,North America,North America,North America,NA,NA,.,US,US,6,6,6,0,0,0,0,Female Non-Inbred,Female Non-Inbred,Female Inbred,Female Inbred
2016,0,0,0,1,1,0,CA,497,4,0-500,337,497,Europe,North America,North America,0,0,17,ES,CA,4,4,6,5,16.1,0.833333333,2.683333333,Male Non-Inbred,Male Non-Inbred,Male Inbred,Male Inbred
2016,0,0,0,1,1,0,US,352,4,0-500,NA,352,North America,North America,North America,0.416666667,1.258333333,12,US,US,6,6,6,3,10.6,0.5,1.766666667,Male Non-Inbred,Male Non-Inbred,Male Inbred,Male Inbred
2006,0,0,0,0,0,1,PK,NA,5,>2000,2001,794,Asia,Asia,Asia,0,0,4,PK,CN,5,9,16,23,21.63,1.4375,1.351875,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2015,1,0,0,0,0,1,BR,NA,6,>2000,801,801,Latin America,Latin America,Latin America,NA,NA,0,BR,BR,7,4,7,11,0,1.571428571,0,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2010,1,0,0,1,1,0,CN,23,4,0-500,123,NA,Asia,Asia,Asia,0,0,11,CN,CN,4,4,12,0,0,0,0,Female Non-Inbred,Female Non-Inbred,Female Inbred,Female Inbred
2012,0,0,0,0,0,1,CA,NA,5,>2000,397,526,North America,North America,North America,0,0,17,CA,CA,8,8,10,12,34.5,1.2,3.45,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2017,1,0,0,0,0,1,US,NA,6,>2000,1413,328,Asia,North America,North America,0.090909091,0.290909091,11,IN,US,8,8,5,7,27.3,1.4,5.46,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2017,0,0,0,0,0,1,CA,54,7,0-500,143,86,Europe,Europe,North America,0.583333333,1.908333333,12,ES,ES,6,6,5,16,75.5,3.2,15.1,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
1985,0,0,0,0,0,1,US,NA,6,>2000,309,4,North America,North America,North America,0,0,4,US,US,8,7,37,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
1994,1,0,1,0,1,0,BR,468,3,0-500,468,710,Latin America,Latin America,Latin America,0,0,4,BR,BR,7,8,28,4,0.1,0.142857143,0.003571429,Female Non-Inbred,Female Inbred,Female Non-Inbred,Female Inbred
2014,0,0,0,0,0,1,KE,NA,5,>2000,794,328,Africa,North America,Africa,0.066666667,0.346666667,15,KE,US,8,8,8,1,5,0.125,0.625,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2016,0,0,0,1,1,0,US,3,4,0-500,2,3,North America,North America,North America,2,74.68,10,US,US,8,7,6,13,405.4,2.166666667,67.56666667,Male Non-Inbred,Male Non-Inbred,Male Inbred,Male Inbred
2012,0,0,0,1,1,0,MX,759,7,500-1000,2001,759,Latin America,Latin America,Latin America,0.05,0,20,MX,MX,11,3,10,2,0.1,0.2,0.01,Male Non-Inbred,Male Non-Inbred,Male Inbred,Male Inbred
2004,0,0,0,0,0,1,US,NA,3,>2000,970,1172,North America,North America,North America,0,0,10,US,US,8,4,18,62,246.7,3.444444444,13.70555556,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2007,0,0,0,0,0,1,ID,NA,4,>2000,NA,273,Asia,Oceania,Asia,0,0,9,ID,AU,6,6,15,11,46.2,0.733333333,3.08,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2019,1,0,0,0,0,1,IR,NA,4,>2000,1478,1042,Asia,Asia,Asia,0.357142857,0.464285714,14,IR,IR,4,4,3,0,0,0,0,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2015,1,0,0,0,0,1,US,4,7,0-500,1301,NA,Latin America,Latin America,North America,0,0,12,BR,BR,7,4,7,2,1.1,0.285714286,0.157142857,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2013,0,0,0,0,0,1,US,63,8,0-500,1295,6,North America,North America,North America,0.571428571,2.428571429,14,US,US,8,8,9,2,3.1,0.222222222,0.344444444,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2012,0,0,0,0,0,1,IN,2001,3,>2000,2001,2001,Asia,Asia,Asia,0,0,4,IN,IN,6,6,10,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2018,0,0,0,0,0,1,US,10,7,0-500,2001,31,North America,North America,North America,0,0,14,US,US,4,7,4,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2019,1,0,0,0,0,1,IN,NA,8,>2000,2001,1218,Asia,Europe,Asia,0,0,6,IN,PL,8,8,3,0,0,0,0,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
1994,0,0,0,0,0,1,KR,282,8,0-500,292,230,Asia,North America,Asia,0,0,5,KR,US,8,8,28,160,426.06,5.714285714,15.21642857,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2015,0,1,1,1,1,0,IN,NA,7,>2000,NA,NA,Asia,Asia,Asia,0.545454545,0.845454545,11,IN,IN,6,7,7,7,83.2,1,11.88571429,Male Inbred,Male Inbred,Male Inbred,Male Inbred
2013,0,0,0,0,0,1,US,2001,7,>2000,2001,2001,North America,North America,North America,0,0,6,US,US,7,7,9,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2008,1,0,0,0,0,1,FR,1556,1,1500-2000,NA,NA,Europe,Europe,Europe,0.083333333,0.05,12,FR,FR,6,7,14,4,1.1,0.285714286,0.078571429,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
