author_id,author_gender,author_academic_age,field_id,field,domain_id,domain,orcid,last_institution_id,last_institution_name,last_institution_country,last_institution_type,degree_institution_name,degree_institution_id,degree_institution_country,degree_institution_type,last_degree,graduate_year,degree_rank_type,us_top_degree_inst100,last_flow_year,institution_name,QS_2025,USNews_2025,THE_2025,ARWU_2024,rank_mean,is_inbred,rank_type
5053697725,Female,29,16,Chemistry,3,Physical Sciences,0000-0003-3102-2686,86519309,The University of Texas at Austin,US,education,University of Michigan–Ann Arbor,27837315,US,education,phd,2009,1,0,2019,The University of Texas at Austin,66,56,50,45,54.25,0,1
5008857922,Male,46,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,0000-0003-2146-0535,23923803,University of Exeter,GB,education,Carnegie Mellon University,74973139,US,education,phd,1996,1,0,2012,University of Exeter,169,122,172,154,154.25,0,1
5050780189,Male,46,31,Physics and Astronomy,3,Physical Sciences,0000-0001-8638-0320,122411786,California Institute of Technology,US,education,Harvard University,136199984,US,education,phd,2006,1,0,2018,California Institute of Technology,10,23,7,8,12,0,1
5070463035,Female,39,32,Psychology,2,Social Sciences,0000-0001-7858-2336,241749,University of Cambridge,GB,education,University of Oxford,40120149,GB,education,phd,1988,3,0,1990,University of Cambridge,5,6,5,4,5,0,1
5017533419,Male,25,28,Neuroscience,1,Life Sciences,0000-0001-7403-0067,130238516,University of Minnesota,US,education,University of Michigan–Ann Arbor,27837315,US,education,phd,2016,1,0,2018,University of Minnesota,203,63,87,47,100,0,1
5029042811,Male,41,27,Medicine,4,Health Sciences,0000-0002-4254-4626,149910238,Kent State University,US,education,"University at Buffalo, State University of New York",63190737,US,education,phd,2007,2,0,2008,Kent State University,1001,894,,702,865.6666667,0,3
5020515133,Male,56,33,Social Sciences,2,Social Sciences,0000-0003-4229-4847,102461120,Marquette University,US,education,New York University,57206974,US,education,phd,2007,2,0,2019,Marquette University,1201,1164,,,1182.5,0,4
5076590102,Male,19,23,Environmental Science,3,Physical Sciences,0000-0002-4171-0178,97565354,University of Lausanne,CH,education,University of Lausanne,97565354,CH,education,phd,2007,3,0,2008,University of Lausanne,224,175,134,141,168.5,1,1
5027207733,Male,46,32,Psychology,2,Social Sciences,0000-0002-6424-3998,103635307,"University of California, Riverside",US,education,Osh State University,186862513,KG,education,phd,1980,3,0,1983,"University of California, Riverside",497,223,275,212,301.75,0,2
5089504993,Male,54,25,Materials Science,3,Physical Sciences,0000-0003-3542-4850,181647926,University of Strathclyde,GB,education,Universitat de Barcelona,71999127,ES,education,phd,2013,3,0,2020,University of Strathclyde,281,432,395,515,405.75,0,2
